# ncom TrainSetGap
1.000000000000000000e+00 5.233860259849556229e+01
2.000000000000000000e+00 1.673656612089742168e+01
3.000000000000000000e+00 1.322665941786155130e+01
4.000000000000000000e+00 1.329863886442447551e+01
5.000000000000000000e+00 1.344539287171047448e+01
6.000000000000000000e+00 7.693761055768855606e+00
7.000000000000000000e+00 7.768121295821281969e+00
8.000000000000000000e+00 5.608745571943964947e+00
9.000000000000000000e+00 5.260560704792432318e+00
1.000000000000000000e+01 5.258961992995056178e+00
